epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,3239.4,0.84925,0.65765,0.87047,0.84694,0.44665,0.49525,0.30098,0.97897,0.83471,0.94075,0.00044296,0.00044296,0.00044296
83,3281.08,0.80555,0.61633,0.86354,0.56358,0.49712,0.53776,0.27645,1.01879,0.90495,0.95933,0.000432689,0.000432689,0.000432689
84,3319.44,0.82791,0.64018,0.86413,0.82543,0.50135,0.56046,0.30701,1.01732,1.00448,0.95564,0.000422449,0.000422449,0.000422449
85,3359.19,0.82263,0.63531,0.86808,0.74592,0.51032,0.59437,0.32012,0.98238,0.87881,0.95023,0.000412246,0.000412246,0.000412246
86,3398.66,0.80125,0.60338,0.86145,0.77285,0.57317,0.58734,0.30986,0.99594,0.85901,0.9474,0.000402084,0.000402084,0.000402084
87,3441.16,0.77443,0.58278,0.85875,0.89798,0.43065,0.50134,0.31131,0.99513,0.86513,0.95076,0.000391966,0.000391966,0.000391966
88,3476.4,0.82275,0.62117,0.86867,0.83113,0.49225,0.54187,0.31223,0.99819,0.86373,0.95382,0.000381899,0.000381899,0.000381899
89,3522.27,0.83408,0.64789,0.87483,0.89177,0.42041,0.48633,0.30757,1.01054,0.93202,0.95783,0.000371885,0.000371885,0.000371885
90,3552.22,0.82222,0.63127,0.8698,0.81288,0.50542,0.53054,0.29341,1.01006,0.96459,0.96134,0.000361929,0.000361929,0.000361929
91,3591.93,0.79746,0.59291,0.86211,0.84958,0.45961,0.52716,0.32,0.97038,0.86011,0.94353,0.000352037,0.000352037,0.000352037
92,3633.88,0.81167,0.62615,0.86865,0.86178,0.51747,0.59124,0.32106,0.96663,0.8485,0.93347,0.000342211,0.000342211,0.000342211
93,3673.4,0.81127,0.60769,0.86057,0.79169,0.48238,0.57722,0.33791,0.95567,0.87674,0.93351,0.000332457,0.000332457,0.000332457
94,3717.39,0.82237,0.64162,0.87613,0.78691,0.45599,0.51923,0.31175,0.98654,0.85568,0.9453,0.000322778,0.000322778,0.000322778
95,3758.92,0.84092,0.65497,0.87698,0.86183,0.45007,0.52758,0.32003,0.98953,0.86657,0.95294,0.00031318,0.00031318,0.00031318
96,3801.98,0.81369,0.61856,0.86612,0.81509,0.4567,0.54345,0.32234,0.99153,0.85499,0.94901,0.000303665,0.000303665,0.000303665
97,3842.48,0.81496,0.62602,0.86795,0.82553,0.49413,0.55962,0.30618,1.0049,0.9501,0.95883,0.000294239,0.000294239,0.000294239
98,3881.46,0.77826,0.5868,0.8583,0.79632,0.45676,0.51598,0.31285,0.99516,0.87893,0.95017,0.000284906,0.000284906,0.000284906
99,3921.48,0.76967,0.57633,0.86167,0.80288,0.47761,0.51267,0.32354,0.98277,0.89586,0.95125,0.000275668,0.000275668,0.000275668
100,3961.19,0.79653,0.60208,0.86026,0.85234,0.51611,0.60745,0.32008,1.01066,0.86029,0.96127,0.000266532,0.000266532,0.000266532
101,4001.98,0.80062,0.60415,0.86478,0.83769,0.52206,0.60383,0.3222,1.00643,0.87968,0.96004,0.0002575,0.0002575,0.0002575
102,4046.61,0.81592,0.61533,0.86557,0.82023,0.45867,0.54147,0.32384,0.95103,0.8678,0.94007,0.000248577,0.000248577,0.000248577
103,4086.27,0.78382,0.58785,0.85893,0.88115,0.45521,0.57688,0.33219,0.96642,0.90344,0.94493,0.000239766,0.000239766,0.000239766
104,4124.32,0.7887,0.60154,0.86074,0.82359,0.48559,0.57157,0.34449,0.92474,0.82729,0.93189,0.000231071,0.000231071,0.000231071
105,4165.79,0.78876,0.59939,0.86209,0.85078,0.46849,0.5248,0.33463,0.97458,0.84546,0.94554,0.000222497,0.000222497,0.000222497
106,4203.71,0.78314,0.59446,0.86354,0.87091,0.45392,0.52315,0.30739,0.98328,0.86298,0.95212,0.000214046,0.000214046,0.000214046
107,4240.84,0.79783,0.615,0.86328,0.82834,0.51133,0.62382,0.31448,1.00243,0.93279,0.95788,0.000205723,0.000205723,0.000205723
108,4282.52,0.78617,0.59334,0.86529,0.79814,0.47419,0.54052,0.30598,1.00152,0.88622,0.95329,0.000197532,0.000197532,0.000197532
109,4321.82,0.80039,0.6106,0.86701,0.84411,0.46161,0.58801,0.30288,1.00539,0.87194,0.95656,0.000189475,0.000189475,0.000189475
110,4362.55,0.76231,0.56238,0.85531,0.85553,0.4723,0.5698,0.32791,0.98903,0.85433,0.95289,0.000181557,0.000181557,0.000181557
111,4400.35,0.77975,0.58149,0.85932,0.86151,0.44572,0.52516,0.31111,0.95719,0.86416,0.94091,0.00017378,0.00017378,0.00017378
112,4437.31,0.76773,0.58086,0.86189,0.8691,0.45557,0.58948,0.32038,0.96091,0.85948,0.9424,0.000166149,0.000166149,0.000166149
113,4476.64,0.78284,0.59422,0.86149,0.84045,0.46804,0.52741,0.32224,0.96447,0.85277,0.93907,0.000158667,0.000158667,0.000158667
114,4513.77,0.77311,0.5786,0.85986,0.79339,0.48066,0.54118,0.30597,0.96807,0.85284,0.93954,0.000151336,0.000151336,0.000151336
115,4551.13,0.76629,0.57802,0.86021,0.84494,0.51572,0.60763,0.31708,0.97475,0.8718,0.94142,0.000144161,0.000144161,0.000144161
